id;ruc;razon social;rubro;representante_legal;direccion;telefono;celular;correo;Sector;Rama
1;20531476311;AGRICOLA LEON DEL NORTE EIRL;Venta de fertilizantes;Maria Sonia Llontop Pacheco ;Jr. Guepi N∞ 166 - Morales;(042) 521112;942016081 / 968488237;agricolaleon@hotmail.com; SECTOR COMERCIO ;Productos Agropecuarios y Agroveterinarias
2;20479983527;CONSORCIO RAYMONDI  E.I.R.L.;Productos Agricolas / Productos veterinarios;Yeni Tuesta Lozano;Jr. Gregorio Delgado N∞ 294 - Tarapoto;(042) 521154;942710268;consorcioraymondi294@gmail.com; SECTOR COMERCIO ;Productos Agropecuarios y Agroveterinarias
3;20450391531;INVERSIONES MANRIQUE E.I.R.L;Productos Agricolas;Delicia Zuta Sandoval                      ;Jr. Orellana N∞ 173 - Tarapoto;;942455478;inv.manrique_eirl@hotmail.com; SECTOR COMERCIO ;Productos Agropecuarios y Agroveterinarias
4;20531390866;INVERSIONES SANTA TERESITA  E.I.R.L;Venta de fertilizantes;Maria µvila  Edquen Campos ;Carretera Fernando Belaunde Terry S/N - San Hilarion - Picota ;(042) 524103;942624046;inversionesantateresita@hotmail.com  info@isteresita.com; SECTOR COMERCIO ;Productos Agropecuarios y Agroveterinarias
5;20494043956;ALIMENTOS BALANCEADOS EXTRUSADOS S.R.L.;Productos Agricolas y veterinarios;"Carlos Fernando S†nchez Laurel
Ayllon  de  Sanchez  Betty  Luz";Jr. AndrÇs A. C†ceres N∞ 426 - Tarapoto;(042) 528483;931701110   942604900;"csanchez@alibex.com.pe
"; SECTOR COMERCIO ;Productos Agropecuarios y Agroveterinarias
6;20572267149;AGRO COMERCIALIZADORA AP E.I.E.L.;Venta al por Mayor de Materias primas Agropecuarios;Armando Pinchi Ugarte;Jr. Los Proceres N∞ 437 - Tarapoto  -                         Jr. Los Cedros N∞ 498 - Morales;;924119609;armandopinchi@gmail.com; SECTOR COMERCIO ;Productos Agropecuarios y Agroveterinarias
7;20522061035;EXPORTADORA ROMEX S.A.;Venta al por Mayor de Materias primas Agropecuarios;Jose Joaquin San Martin Tudela            Jorge Luis Bocanegra Padilla;Carret. Tarapoto - Juanjui Km 2,5 - La Banda de Shilcayo;;976869559  937431024;jsanmartin@romex.com.pe  jbocanegrap@romex.com pe     duriarteo@romex.com.pe; SECTOR COMERCIO ;Productos Agropecuarios y Agroveterinarias
8;20493824563;M & L DISTRIBUIDORA E.I.R.L.;Distribuidor de productos lacteos embutidos yn secos;Wilfredo Garcia Pinedo                       Miryam Giovanny Cardenas Mu§oz de Garcia;Jr. Jose Olaya N∞ 1384 - Tarapoto;042-523814;988 837 869;wilfredogarciap@hotmail.com miryamgiova@hotmail.com Yaritazaguevara_93@hotmail.com; SECTOR COMERCIO ;Productos Agropecuarios y Agroveterinarias
9;20404342593;COMERCIAL EL SOL E.I.R.L.;Venta de Abarrotes al por mayor y menor;Carmen Augusta Mostacero Ch†vez              Hermes Espinoza Mostacero                                               ;Jr. Antonio Raymondi N∞  397  - Tarapoto; (042) 529239;"942429900
998034828 ";comercial_elsol@hotmail.com      comercialelsol_contabilidad@hotmail.com; SECTOR COMERCIO ;Supermercados, minimarket, venta de abarrotes 
10;20489163684;COMERCIAL SAN JOSE S.R.L.;Abarrotes;Flores Pezo Dorith;Jr. Alonso de Alvarado N∞ 494 - Tarapoto;(042) 521462;949515980;comercialsanjose661@gmail.com; SECTOR COMERCIO ;Supermercados, minimarket, venta de abarrotes 
